pid,year,jbsect1,jbhrs1,age,e1,spelldur1,logw1,jbsect2,jbhrs2,j2u,j2j,u2j,e2,logw2,sex,educ,nonwhite
14495228,2003,1,40,50,1,129.76439,6.8829136,,,0,0,0,,,1,1,0
14500817,2003,1,40,41,1,130.98082,7.3440938,,,0,0,0,,,1,1,0
14510898,1998,1,42,62,1,72.427399,6.2828779,,,0,0,0,,,0,1,0
14510928,1994,1,69,53,1,23.80274,5.3663344,,,0,0,0,,,1,1,0
14515377,1992,1,47,30,1,.98630136,6.6617365,1,43,0,1,0,1,6.4232268,1,1,0
14517647,2003,2,37,57,1,130.61917,7.4233766,,,0,0,0,,,0,3,0
14524333,2001,3,30,49,1,116.28493,6.2601714,1,35,0,1,0,1,6.9348984,0,1,0
14525453,1998,3,45,33,1,68.613701,7.4635477,,,0,0,0,,,0,3,0
14527693,1995,-8,-8,54,0,40.438354,,1,20,0,0,1,1,6.5080953,1,1,0
14529939,1992,4,37,37,1,.032876711,6.6361208,4,37,0,1,0,1,6.7008672,0,1,0
14538881,1996,-8,-8,40,0,57.40274,,1,16,0,0,1,1,5.1723003,1,1,0
14555719,1994,1,25,31,1,31.49589,6.0910983,-8,-8,1,0,0,0,,0,1,0
14556804,1994,2,39,54,1,27.123287,6.7973404,-8,-8,1,0,0,0,,1,1,0
14584786,1992,1,40,35,1,6.6410961,6.7664824,2,38,0,1,0,1,6.9193268,1,1,0
14584816,1992,1,30,26,1,2.2027397,5.9514437,1,39,0,1,0,1,6.2816987,0,1,0
14588153,2001,1,40,49,1,110.16986,7.1139832,1,35,1,0,0,0,7.2813683,1,1,0
14588188,1992,1,20,40,1,10.487671,5.5885382,1,23,0,1,0,1,6.0681248,0,1,0
14590387,2003,1,37,44,1,131.07945,7.1374931,,,0,0,0,,,1,1,0
14590417,2003,1,20,42,1,130.98082,6.0182438,,,0,0,0,,,0,1,0
14592622,2003,3,20,45,1,131.40822,7.5950613,,,0,0,0,,,1,2,0
14599376,1996,1,37,39,1,56.580822,6.6682992,1,40,0,1,0,1,6.4940562,0,1,0
14610531,2003,4,37,55,1,130.29041,7.1887536,,,0,0,0,,,1,1,0
14612801,2003,1,37,62,1,131.17809,6.8044505,,,0,0,0,,,0,1,0
14617269,1993,1,31,51,1,21.008219,6.0725293,1,-8,1,0,0,0,,0,1,0
14618443,1996,1,37,34,1,54.50959,7.3294373,1,35,0,1,0,1,7.2739153,1,2,0
14621738,2003,1,37,45,1,131.80273,6.6538067,,,0,0,0,,,1,1,0
14621762,1992,1,45,29,1,.26301369,6.3044472,1,35,1,0,0,0,6.0819945,0,1,0
14624001,1996,4,37,53,1,57.435616,7.3808537,6,20,0,1,0,1,6.5567904,0,3,0
14627361,1999,4,37,54,1,89.589043,7.3168983,1,13,0,1,0,1,5.2803755,0,1,0
14630699,1995,1,37,63,1,41.852055,6.8908043,-8,-8,0,1,0,0,,1,1,0
14630729,1992,-8,-8,53,0,.032876711,,,,0,0,0,,,0,1,0
14632969,1993,1,39,33,1,20.186302,6.8736444,1,39,1,0,0,0,6.545495,1,1,0
14634082,1999,1,40,53,1,84.164383,7.0403552,,,0,0,0,,,1,1,0
14646366,2003,8,23,52,1,131.47397,6.8309584,,,0,0,0,,,0,3,0
14647486,2003,1,40,44,1,131.8685,7.3958282,,,0,0,0,,,1,2,0
14648601,2003,1,42,38,1,132.23013,7.1238942,,,0,0,0,,,1,1,0
14653087,1993,1,39,41,1,16.01096,6.7270026,1,40,1,0,0,0,6.5741458,1,2,0
14653117,2003,1,40,47,1,132.46028,7.0591173,,,0,0,0,,,0,1,0
14654202,1992,1,39,51,1,9.3041096,7.1267486,1,-8,1,0,0,0,,1,1,0
14654237,1992,1,-8,48,0,.59178084,,1,27,0,0,1,1,5.5764956,0,1,0
14655322,1992,1,39,32,1,5.7205482,7.1194839,1,-8,1,0,0,0,,1,2,0
14672111,2000,1,38,53,1,95.704109,7.057447,,,0,0,0,,,1,1,0
14677741,2003,3,32,55,1,133.4137,6.759017,,,0,0,0,,,0,1,0
14678837,2003,1,30,52,1,131.76987,6.4056115,,,0,0,0,,,0,1,0
14679957,1993,1,47,29,1,14.89315,6.8662353,3,37,0,1,0,1,7.1735978,1,1,0
14680017,2001,3,39,39,1,116.58082,7.4945073,3,39,0,1,0,1,7.7942796,1,2,0
14690039,2002,1,45,45,1,123.61644,7.0360136,,,0,0,0,,,1,1,0
14691159,2003,1,37,63,1,132.52603,7.2531867,,,0,0,0,,,1,2,1
14693399,1993,1,40,39,1,21.468493,6.8059721,1,16,1,0,0,0,5.7964921,1,1,0
14697866,1994,1,48,34,1,25.873972,6.604548,-8,-8,1,0,0,0,,1,1,0
14701251,1992,1,38,27,1,5.7205482,6.9110637,1,37,0,1,0,1,6.8563519,0,3,0
14707942,2003,1,35,47,1,132.36165,7.8520823,,,0,0,0,,,1,2,0
14710242,1994,5,37,29,1,23.013699,6.9161777,,,0,0,0,,,1,1,0
14714663,1994,1,37,33,1,25.709589,7.5506468,,,0,0,0,,,1,1,0
14716909,1996,3,56,43,1,47.868492,7.4561682,,,0,0,0,,,1,1,0
14716933,1994,1,42,38,1,28.01096,6.2990894,1,35,0,1,0,1,5.999886,0,1,0
14723611,2002,3,50,53,1,124.63562,7.470871,,,0,0,0,,,1,3,0
14725851,1996,3,48,44,1,42.739727,7.1500335,,,0,0,0,,,0,2,0
14737051,1993,1,39,54,1,19.002739,7.0704284,1,40,0,1,0,1,5.9223723,0,1,0
14740419,1995,1,25,41,1,40.372604,5.801404,1,25,0,1,0,1,6.2985482,0,1,0
14746042,2003,1,40,40,1,130.06027,6.3581944,,,0,0,0,,,0,3,0
14752727,2003,4,38,55,1,131.4411,7.4891543,,,0,0,0,,,1,3,1
14752751,1995,4,38,40,1,41.786301,7.3058562,4,38,0,1,0,1,7.5625205,0,3,1
14757206,1992,3,37,30,1,8.4164381,7.1147437,3,37,0,1,0,1,7.3137379,0,2,0
14761718,2003,1,37,62,1,125.91781,6.8122411,,,0,0,0,,,1,1,0
14762803,1997,1,40,54,1,65.589043,6.6078157,1,35,1,0,0,0,6.2442451,0,1,0
14780712,2003,1,45,43,1,131.17809,6.9038444,,,0,0,0,,,1,1,0
14780747,2003,1,37,39,1,131.17809,6.7006621,,,0,0,0,,,0,1,0
14785196,1994,1,40,60,1,22.980822,6.4492297,,,0,0,0,,,1,1,0
